,label,area,equivalent_diameter,mean_intensity,solidity,area_sq_microns,equivalent_diameter_microns
1,2,587.0,27.33846397952051,19.701873935264054,0.9560260586319218,211.32,16.403078387712306
8,9,366.0,21.587164551489145,32.69672131147541,0.9631578947368421,131.76,12.952298730893487
11,12,226.0,16.96325844612841,32.78761061946903,0.9456066945606695,81.36,10.177955067677045
15,16,71.0,9.507891862878783,49.25352112676056,0.9342105263157895,25.56,5.704735117727269
16,17,220.0,16.73656774376801,28.759090909090908,0.8979591836734694,79.2,10.041940646260805
23,24,548.0,26.414679072721462,40.693430656934304,0.9614035087719298,197.28,15.848807443632877
28,29,186.0,15.389040103942165,39.666666666666664,0.9587628865979382,66.96,9.233424062365298
31,32,936.0,34.52176435050956,24.9732905982906,0.9780564263322884,336.96,20.713058610305733
33,34,303.0,19.64157789116634,27.95049504950495,0.9558359621451105,109.08,11.784946734699803
34,35,304.0,19.67396303746374,27.31907894736842,0.9382716049382716,109.44,11.804377822478243
37,38,198.0,15.877702285203682,43.02020202020202,0.9473684210526315,71.28,9.526621371122209
38,39,122.0,12.463355264843006,27.9672131147541,0.9682539682539683,43.92,7.478013158905803
39,40,56.0,8.444016491289505,29.428571428571427,0.9333333333333333,20.16,5.066409894773702
42,43,93.0,10.881694613449236,42.354838709677416,0.8611111111111112,33.48,6.529016768069542
43,44,66.0,9.166995688475081,35.10606060606061,0.9705882352941176,23.759999999999998,5.500197413085049
45,46,253.0,17.94796937867892,35.74308300395257,0.8815331010452961,91.08,10.768781627207352
47,48,138.0,13.255453865237978,46.46376811594203,0.9583333333333334,49.68,7.953272319142787
48,49,259.0,18.159544104586082,33.2972972972973,0.9418181818181818,93.24,10.895726462751648
49,50,568.0,26.89237924411993,28.984154929577464,0.9250814332247557,204.48,16.135427546471956
50,51,139.0,13.303394180365686,28.223021582733814,0.9328859060402684,50.04,7.982036508219411
53,54,99.0,11.227230955528665,46.505050505050505,0.9611650485436893,35.64,6.736338573317199
57,58,281.0,18.91508160359296,27.96797153024911,0.95578231292517,101.16,11.349048962155775
58,59,62.0,8.884866446580956,48.25806451612903,0.8857142857142857,22.32,5.330919867948573
59,60,265.0,18.36868202552426,44.177358490566036,0.9363957597173145,95.39999999999999,11.021209215314556
72,73,361.0,21.43920417481474,32.64542936288089,0.9575596816976127,129.96,12.863522504888843
74,75,390.0,22.283703068536735,42.85897435897436,0.9653465346534653,140.4,13.37022184112204
77,78,464.0,24.306031118985995,36.64224137931034,0.9488752556237219,167.04,14.583618671391596
79,80,443.0,23.74963406702674,37.08803611738149,0.9096509240246407,159.48,14.249780440216044
80,81,465.0,24.33220886606579,31.67956989247312,0.8230088495575221,167.4,14.599325319639474
90,91,143.0,13.493452297211721,31.95104895104895,0.934640522875817,51.48,8.096071378327032
93,94,288.0,19.149229459268767,32.56597222222222,0.9696969696969697,103.67999999999999,11.48953767556126
96,97,130.0,12.865501965161373,33.684615384615384,0.9090909090909091,46.8,7.719301179096823
97,98,215.0,16.545286401814263,34.24186046511628,0.9555555555555556,77.39999999999999,9.927171841088557
100,101,342.0,20.867389014906145,23.03216374269006,0.9071618037135278,123.11999999999999,12.520433408943687
102,103,429.0,23.371344948277684,35.47785547785548,0.959731543624161,154.44,14.022806968966611
105,106,254.0,17.983404693292407,25.64566929133858,0.9584905660377359,91.44,10.790042815975443
108,109,95.0,10.998079684646791,35.09473684210526,0.979381443298969,34.199999999999996,6.598847810788075
110,111,398.0,22.511093682995384,38.23869346733668,0.9660194174757282,143.28,13.50665620979723
112,113,928.0,34.37391885593249,22.179956896551722,0.9596690796277145,334.08,20.62435131355949
113,114,54.0,8.291859587312052,34.2962962962963,0.9310344827586207,19.439999999999998,4.975115752387231
119,120,502.0,25.281737508665255,28.161354581673308,0.8760907504363001,180.72,15.169042505199153
122,123,288.0,19.149229459268767,37.833333333333336,0.9632107023411371,103.67999999999999,11.48953767556126
126,127,213.0,16.46815177937675,31.6056338028169,0.922077922077922,76.67999999999999,9.88089106762605
127,128,294.0,19.347672370394786,31.993197278911566,0.9245283018867925,105.83999999999999,11.608603422236872
129,130,1072.0,36.94472617243352,30.390858208955223,0.9354275741710296,385.91999999999996,22.166835703460112
130,131,919.0,34.20682887394876,34.23394994559304,0.9553014553014553,330.84,20.524097324369254
133,134,386.0,22.16913314200113,31.45336787564767,0.9256594724220624,138.96,13.301479885200678
139,140,1204.0,39.153293754946546,26.036544850498338,0.9398907103825137,433.44,23.491976252967927
144,145,986.0,35.43182455235505,31.870182555780932,0.9554263565891473,354.96,21.259094731413033
145,146,147.0,13.680870333281758,33.30612244897959,0.8448275862068966,52.919999999999995,8.208522199969055
146,147,213.0,16.46815177937675,45.76056338028169,0.9726027397260274,76.67999999999999,9.88089106762605
148,149,188.0,15.471555655790098,38.744680851063826,0.9641025641025641,67.67999999999999,9.282933393474059
150,151,223.0,16.85029431422316,37.860986547085204,0.9695652173913043,80.28,10.110176588533895
154,155,204.0,16.11647812414279,38.81372549019608,0.9488372093023256,73.44,9.669886874485675
155,156,64.0,9.0270333367641,42.015625,0.5289256198347108,23.04,5.41622000205846
157,158,388.0,22.22649192646566,23.951030927835053,0.9486552567237164,139.68,13.335895155879395
158,159,834.0,32.586527589007176,29.61390887290168,0.9402480270574972,300.24,19.551916553404304
160,161,227.0,17.000746355818674,34.480176211453745,0.9578059071729957,81.72,10.200447813491204
161,162,555.0,26.582850624566497,29.922522522522524,0.9343434343434344,199.79999999999998,15.949710374739897
166,167,771.0,31.331576548121713,30.88586251621271,0.7456479690522244,277.56,18.798945928873028
171,172,337.0,20.71428798138497,33.554896142433236,0.9335180055401662,121.32,12.428572788830982
173,174,411.0,22.875783109789968,32.051094890510946,0.8670886075949367,147.96,13.72546986587398
175,176,108.0,11.726460285670077,37.5462962962963,0.9310344827586207,38.879999999999995,7.035876171402046
